1,\u0C95,1,0,0
2,\u0C96,1,0,0
3,\u0C97,1,0,0
4,\u0C98,1,0,0
5,\u0C99,1,0,0
6,\u0C9A,1,0,0
7,\u0C9B,1,0,0
8,\u0C9C,1,0,0
9,\u0C9D,1,0,0
10,\u0C9E,1,0,0
11,\u0C9F,1,0,0
12,\u0CA0,1,0,0
13,\u0CA1,1,0,0
14,\u0CA2,1,0,0
15,\u0CA3,1,0,0
16,\u0CA4,1,0,0
17,\u0CA5,1,0,0
18,\u0CA6,1,0,0
19,\u0CA7,1,0,0
20,\u0CA8,1,0,0
21,\u0CAA,1,0,0
22,\u0CAB,1,0,0
23,\u0CAC,1,0,0
24,\u0CAD,1,0,0
25,\u0CAE,1,0,0
26,\u0CAF,1,0,0
27,\u0CB0,1,0,0
28,\u0CB2,1,0,0
29,\u0CB5,1,0,0
30,\u0CB6,1,0,0
31,\u0CB7,1,0,0
32,\u0CB8,1,0,0
33,\u0CB9,1,0,0
34,\u0CB3,1,0,0
35,\u0C95\u0CCD\u0CB7,1,0,0
36,\u0C9C\u0CCD\u0C9E,1,0,0
37,\u0CB1,1,0,0
38,\u0CBE,1,0,0
39,\u0C90,\u0C94 \u0C8B \u0CC3 \u0CE0 \u0CC4 \u0C8C \u0CE1 \u0CBD \u0CBC,0,0
40,\u0C85,\u0C86 \u0C87 \u0C88 \u0C89 \u0C8A \u0C8E \u0C8F \u0C92 \u0C93,0,0
41,.,0,0,0
42,\u02cc,0,0,0
43,!,0,0,0
44,?,0,0,0
45,|,0,0,0
46,"""",0,0,0
47,\',0,0,0
48,\u0C82,0,0,0
49,\u0C83,0,0,0
50,\u0CC8,0,0,0
51,\u0CCC,0,0,0
52,\u0CB0\u0CCD\u0C95,0,0,0
53,\u0C9F\u0CCD\u0CB0,0,0,0
